Title,Authors,URL,Picture
Doing Data Science,Cathy O'Neil and Rachel Schutt,http://amzn.to/2mOmVPO,Doing-Data-Science.jpg
Analyzing the Analyzers,"Harlan Harris, Sean Patrick Murphy & Marck Vaisman",http://amzn.to/2mOnxFa,Analyzing-the-Analyzers.jpg
Machine Learning for Hackers,Drew Conway & John Myles White,http://amzn.to/2n4eT7J,Machine-Learning-for-Hackers.jpg
Bandit Algorithms for Website Optimization,John Myles White,http://amzn.to/2mxQF1G,Bandit-Algorithms.jpg
Machine Learning for Email,Drew Conway & John Myles White,http://amzn.to/2nfaTSb,Machine-Learning-for-Email.jpg
Service-Oriented Design with Ruby and Rails,Paul Dix,http://amzn.to/2mzXsIX,Service-Oriented-Design-with-Ruby-and-Rails.jpg
R for Everyone,Jared P. Lander,http://amzn.to/2mOljFG,R-for-Everyone.jpg
Data Science at the Command Line,Jeroen Janssens,http://amzn.to/2nfbm6T,Data-Science-at-the-Command-Line.jpg
Python for Data Analysis,Wes McKinney,http://amzn.to/2mV1QF9,Python-for-Data-Analysis.jpg
Bayesian Data Analysis,"Andrew Gelman, John B. Carlin, Hal S. Stern, David B. Dunson, Aki Vehtari & Donald B. Rubin",http://amzn.to/2nf533v,Bayesian-Data-Analysis.jpg
Data Analysis Using Regression and Multilevel/Hierarchical Models,Andrew Gelman & Jennifer Hill,http://amzn.to/2n4wfBf,Data-Analysis-Using-Regression-and-Multilevel-Hierarchical-Models.jpg
"Red State, Blue State, Rich State, Poor State",Andrew Gelman,http://amzn.to/2n4k1Zu,Red-State-Blue-State-Rich-State-Poor-State.jpg
Teaching Statistics: A Bag of Tricks,Andrew Gelman & Deborah Nolan,http://amzn.to/2mzEMsS,Teaching-Statistics-A-Bag-of-Tricks.jpg
A Quantitative Tour of the Social Sciences,Andrew Gelman & Jeronimo Cortina,http://amzn.to/2nKGNCF,A-Quantitative-Tour-of-the-Social-Sciences.jpg
Applied Predictive Modeling,Max Kuhn & Kjell Johnson,http://amzn.to/2m7n187,Applied-Predictive-Modeling.jpg
Text Mining with R,Julia Silge & David Robinson,http://amzn.to/2mzTlg6,Text-Mining-with-R.jpg
Getting Started with D3,Mike Dewar,http://amzn.to/2n4bi9C,Getting-Started-with-D3.jpg
Bad Data,Q. Ethan McCallum,http://amzn.to/2n4i4wi,Bad-Data.jpg
Parallel R,Q. Ethan McCallum,http://amzn.to/2neWYMb,Parallel-R.jpg
Testing R Code,Richard Cotton,http://amzn.to/2nLfnNg,Testing-R-Code.jpg
Pandas for Everyone: Python Data Analysis,Daniel Y. Chen,http://amzn.to/2Cn7aXV,Pandas-for-Everyone.jpg
